n,best,average,worst
1,608405,380258,608405
1001,920405,1994687,3275483
2001,1232405,2621767,4269483
3001,1544405,3417832,5263483
4001,1856405,4073936,6257483
5001,2168405,4963513,7251483
6001,2480405,6177539,8245483
7001,2792405,6929251,9239483
8001,3104405,7679867,10233483
9001,3416405,8429315,11227483
10001,3728405,9179523,12221483
11001,4040405,9930955,13215483
12001,4352405,11578061,14209483
13001,4664405,12390653,15203483
14001,4976405,13203597,16197483
15001,5288405,14015901,17191483
16001,5600405,14829221,18185483
17001,5912405,15641309,19179483
18001,6224405,16454613,20173483
19001,6536405,17267285,21167483
20001,6848405,18080637,22161483
21001,7160405,18893253,23155483
21583,7341989,19366301,23733991